"Label (Grouping)","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Puerto Rico"
"    Female:","2,597,435","351,974","3,614,159","1,535,026","19,989,220","2,873,963","1,856,091","513,229","366,768","11,073,953","5,523,338","727,427","919,910","6,529,378","3,440,868","1,604,277","1,475,575","2,290,915","2,396,471","694,799","3,201,808","3,628,215","5,106,475","2,871,046","1,531,426","3,130,799","539,987","984,762","1,550,880","695,820","4,770,289","1,073,366","10,430,888","5,372,038","381,025","6,017,830","1,997,724","2,139,756","6,640,343","565,649","2,644,667","440,895","3,544,440","14,750,823","1,628,085","325,904","4,410,876","3,861,509","904,818","2,962,113","284,438","1,732,081"
"        Under 5 years","140,011","23,243","192,818","87,758","1,046,636","154,249","86,888","25,071","18,160","505,026","302,012","37,719","55,941","345,380","199,773","93,500","87,519","129,100","138,535","30,240","168,819","166,191","269,090","166,362","84,669","173,242","28,870","61,946","84,795","29,996","246,116","56,536","519,195","281,905","25,581","326,751","117,769","105,207","326,666","25,426","135,339","28,203","192,598","893,665","116,704","14,019","235,175","213,866","43,639","157,604","16,427","55,745"
"        5 to 9 years","148,445","24,920","217,525","94,023","1,170,426","169,501","96,609","28,092","16,283","563,134","333,941","40,745","63,379","373,830","215,666","100,517","96,907","137,706","147,281","33,650","184,537","180,748","290,100","179,094","90,106","185,820","32,490","66,107","93,627","33,815","268,108","63,943","551,390","306,958","25,964","348,172","129,084","118,302","357,146","27,536","149,436","30,037","205,527","983,330","128,479","15,810","254,032","230,643","48,644","172,187","18,453","73,137"
"        10 to 14 years","159,120","24,679","237,396","100,427","1,274,773","183,459","108,303","30,208","14,309","617,470","366,202","42,483","67,248","407,034","227,308","105,955","102,094","145,797","156,458","36,595","196,123","196,848","306,694","187,121","101,324","197,724","33,597","68,427","100,117","37,738","289,806","71,564","580,824","332,127","24,511","369,768","136,736","125,236","379,092","30,121","161,744","30,603","219,045","1,059,076","135,464","17,096","270,088","238,332","52,220","185,440","19,737","86,617"
"        15 to 17 years","94,033","13,952","140,277","58,772","763,804","109,208","68,638","18,137","7,482","367,805","219,253","24,589","39,189","249,599","134,568","61,353","59,324","85,786","90,736","22,480","116,867","123,378","190,039","111,057","59,553","115,643","19,183","40,080","57,936","23,733","177,588","42,609","357,371","197,668","13,311","221,904","78,962","73,261","229,364","19,332","93,726","17,105","129,891","629,184","79,832","10,586","162,267","137,488","31,162","109,722","11,051","57,405"
"        18 and 19 years","74,323","8,509","97,966","41,972","527,021","73,283","49,939","12,821","10,398","266,838","153,579","15,941","27,136","167,172","95,578","45,543","42,139","59,532","65,255","16,308","79,706","98,925","136,643","73,061","45,546","84,694","13,163","27,217","36,673","18,350","115,957","28,226","268,364","145,123","11,216","158,500","55,684","52,092","176,791","19,038","70,863","11,707","92,334","425,924","55,228","9,458","119,450","93,750","23,075","79,259","7,401","42,146"
"        20 years","39,476","4,358","50,760","21,174","272,599","37,291","26,484","7,658","7,531","135,328","80,349","8,442","13,116","85,187","49,481","24,641","21,526","30,987","33,441","8,340","41,365","54,590","72,825","37,736","22,315","43,128","6,989","13,949","18,303","9,568","58,424","14,163","141,521","74,349","5,891","84,133","28,587","27,944","95,731","10,025","36,844","6,065","48,557","212,952","27,278","4,810","62,301","48,384","11,932","41,205","3,732","21,811"
"        21 years","37,851","4,267","47,605","20,614","264,239","36,385","24,516","6,850","6,599","130,086","78,333","8,557","13,039","82,437","47,587","22,554","20,383","30,056","32,039","7,679","39,619","53,580","70,512","36,489","21,209","41,239","6,774","13,324","18,702","9,316","57,909","13,389","138,220","72,388","5,849","82,650","27,802","26,643","90,636","8,444","34,375","5,787","46,512","203,226","27,787","4,725","59,605","46,264","11,261","40,309","3,398","20,739"
"        22 to 24 years","98,474","13,183","134,069","56,898","790,260","110,428","64,529","18,079","23,409","369,168","215,079","25,223","35,826","246,597","129,709","58,117","54,985","83,337","88,525","20,706","115,483","149,702","187,294","102,399","55,631","116,759","18,733","36,845","57,573","23,330","167,018","37,508","415,052","195,901","16,265","219,636","74,840","76,850","238,583","21,062","91,827","15,946","135,085","587,838","78,739","10,791","167,387","141,584","30,319","105,204","9,680","61,693"
"        25 to 29 years","160,320","26,087","230,830","94,435","1,425,982","213,841","109,980","30,529","45,790","642,480","370,473","45,366","56,562","435,453","216,258","96,341","90,318","141,559","152,907","37,805","206,904","253,760","324,195","181,029","92,555","199,105","32,462","62,764","106,315","40,436","295,844","66,712","751,522","341,663","26,836","373,768","126,306","141,125","410,138","36,149","160,179","26,694","235,466","1,016,919","118,941","18,451","287,899","268,525","50,610","178,160","16,996","96,853"
"        30 to 34 years","160,373","27,313","226,899","95,999","1,435,674","217,914","117,817","31,970","41,790","680,807","372,437","46,959","56,587","436,621","216,814","98,986","93,545","142,192","160,141","41,917","222,237","252,544","319,397","193,641","92,392","201,131","34,242","64,255","108,966","43,051","316,570","68,337","746,883","349,456","26,852","376,278","130,553","148,515","424,699","37,231","164,796","27,887","231,815","1,038,822","111,879","20,021","297,010","284,034","50,891","185,994","18,447","96,867"
"        35 to 39 years","159,664","25,629","220,963","96,151","1,386,356","205,551","114,972","31,092","31,744","675,734","368,161","47,073","58,933","431,812","215,285","99,436","95,493","142,049","162,045","41,326","219,014","230,638","302,621","196,019","95,640","198,643","34,279","64,837","106,481","41,177","311,509","67,282","682,236","339,576","25,327","366,866","131,376","147,945","402,480","34,755","162,429","27,780","224,356","1,032,016","113,586","19,677","295,712","276,599","52,022","186,559","18,951","102,720"
"        40 to 44 years","154,608","21,200","209,213","91,153","1,283,703","184,487","109,298","28,828","22,250","647,600","354,307","43,789","55,176","408,988","204,607","92,009","86,056","138,947","144,372","38,798","199,487","211,793","289,973","171,648","92,243","181,573","31,031","57,797","98,813","38,497","301,483","61,064","629,923","330,581","20,825","344,842","117,741","136,430","372,587","31,865","153,741","24,974","212,758","959,919","108,410","18,456","274,105","245,869","54,507","171,632","17,054","112,398"
"        45 to 49 years","159,755","20,127","210,051","90,740","1,260,434","175,088","113,811","28,848","18,061","674,118","362,978","43,713","50,765","405,182","204,973","86,841","81,843","140,681","135,525","41,028","198,335","217,978","303,296","161,250","92,389","178,612","28,597","54,035","98,486","42,607","304,969","59,868","622,663","341,719","19,106","353,590","113,871","127,310","383,016","32,445","159,056","22,708","218,789","934,280","88,916","18,806","273,228","230,959","55,709","167,684","15,639","114,157"
"        50 to 54 years","161,503","20,666","210,832","90,721","1,266,135","170,389","130,189","32,548","17,276","712,083","358,549","45,591","50,379","412,929","207,675","91,262","83,057","144,384","143,820","46,565","214,782","242,692","326,720","172,905","93,552","186,149","30,117","53,486","97,796","49,121","328,856","62,401","683,637","345,721","19,730","373,869","112,129","125,382","424,813","37,875","166,069","23,446","222,313","882,240","77,228","21,320","285,155","232,531","57,717","185,072","15,523","121,911"
"        55 to 59 years","178,020","23,181","230,438","102,441","1,286,009","183,386","139,939","37,144","17,939","797,759","365,395","48,546","55,841","441,530","230,168","106,110","95,994","159,344","160,950","54,311","229,143","258,741","361,484","195,628","103,921","216,427","37,019","62,202","100,693","57,163","344,420","73,033","723,531","363,547","23,512","416,366","128,838","134,719","470,813","41,672","183,137","28,694","241,231","896,432","78,584","25,348","305,647","247,022","64,374","214,184","18,758","128,523"
"        60 and 61 years","71,892","9,537","95,656","40,749","504,162","74,647","55,307","15,212","7,114","320,089","139,384","20,618","23,083","178,025","92,865","43,955","39,627","63,698","65,685","22,711","88,776","102,032","147,917","79,841","42,643","88,078","16,410","25,565","39,758","23,201","134,319","30,625","287,700","144,018","10,144","172,161","52,990","57,003","195,547","16,760","73,961","12,139","95,956","349,260","31,958","10,339","119,494","100,243","27,346","86,587","8,268","51,477"
"        62 to 64 years","104,326","13,518","139,592","59,315","710,939","106,755","76,906","22,674","10,207","465,039","196,675","29,827","34,371","252,024","133,561","63,259","57,132","91,734","93,598","33,583","123,041","143,786","216,202","111,123","60,886","126,408","24,390","36,516","57,587","32,220","186,629","44,723","400,680","208,481","14,337","251,575","75,859","86,271","282,530","23,882","110,058","17,503","138,523","490,999","45,122","15,345","168,035","146,368","40,366","122,794","12,288","74,970"
"        65 and 66 years","66,018","8,460","92,958","38,219","448,262","67,317","46,575","14,401","6,623","304,330","123,020","19,676","22,318","155,983","83,237","39,932","36,016","58,163","59,756","21,343","75,622","89,337","134,490","68,754","38,958","78,965","15,933","23,320","37,734","19,975","112,761","28,957","248,852","133,328","9,007","156,005","47,945","58,164","177,313","14,962","71,729","11,256","88,173","305,869","28,830","9,823","104,717","95,020","25,936","77,146","7,884","48,605"
"        67 to 69 years","89,134","10,400","129,491","51,483","593,087","91,292","60,969","20,156","9,001","427,296","166,720","26,696","30,912","208,408","112,229","54,991","48,258","78,200","79,379","29,559","101,570","120,390","181,057","92,939","52,220","106,330","21,552","32,014","51,102","26,325","148,247","40,404","331,241","183,672","11,563","210,867","64,512","81,424","239,639","19,494","100,882","15,183","119,425","405,020","38,337","13,230","139,229","128,113","36,970","103,759","10,245","67,579"
"        70 to 74 years","130,004","12,758","197,017","76,309","848,350","124,410","89,121","29,094","13,115","655,626","240,396","38,686","43,140","291,527","157,912","75,608","66,094","111,717","109,807","41,922","143,652","174,840","251,137","126,997","73,661","151,490","28,909","42,938","75,167","37,637","215,626","56,589","482,957","267,487","15,238","298,817","92,058","114,863","341,587","27,545","148,180","19,980","173,534","564,719","52,901","18,562","203,020","180,304","52,747","142,189","13,562","108,453"
"        75 to 79 years","89,480","7,748","136,921","54,529","580,860","79,784","64,165","19,535","8,932","475,300","159,076","25,767","29,613","205,001","109,561","53,541","46,311","75,563","74,913","28,176","99,073","120,585","174,623","89,281","50,648","107,689","19,296","29,644","49,885","24,985","153,235","37,338","337,765","180,714","10,756","205,216","65,423","76,315","241,490","19,127","98,606","13,973","118,469","380,271","36,569","12,470","139,940","118,908","34,751","98,949","8,988","80,232"
"        80 to 84 years","60,701","4,297","84,584","35,791","397,230","50,936","43,782","12,071","5,881","313,026","100,269","16,913","18,459","143,063","74,302","40,062","32,086","49,890","49,995","18,598","64,660","82,325","116,794","62,636","34,847","72,388","12,607","21,454","29,034","15,695","106,231","24,109","239,299","116,324","8,281","144,025","43,956","47,097","170,184","13,150","59,662","10,052","77,604","246,954","24,048","7,807","90,775","74,899","23,998","69,039","5,861","55,115"
"        85 years and over","59,904","3,942","80,298","35,353","452,279","54,362","57,354","12,211","6,874","327,811","96,750","24,508","18,897","165,596","81,751","49,764","38,868","50,493","51,308","21,159","72,993","102,812","133,372","74,036","34,518","79,562","13,344","26,040","25,337","17,884","128,664","23,986","290,062","119,332","10,923","162,071","44,703","51,658","209,498","17,753","58,028","13,173","76,479","251,908","23,265","8,954","96,605","81,804","24,622","81,435","6,095","52,928"
